Days since start,median_2019_no2,median_2019_pm25,median_2020_no2,median_2020_pm25,Relative NO2 Levels,Relative PM2.5 Levels
0,2.8,9.0,2.8,21.0,1.0,2.3333333333333335
1,13.9,18.0,6.5,15.0,0.4676258992805755,0.8333333333333334
2,9.3,36.0,8.4,21.0,0.9032258064516129,0.5833333333333334
3,6.5,10.0,8.4,25.0,1.2923076923076924,2.5
4,8.4,17.0,11.2,37.0,1.3333333333333333,2.176470588235294
5,7.5,17.0,13.0,30.0,1.7333333333333334,1.7647058823529411
6,18.6,34.0,7.5,32.0,0.4032258064516129,0.9411764705882353
7,10.2,50.0,4.7,34.0,0.4607843137254902,0.68
8,1.9,21.0,4.7,20.0,2.473684210526316,0.9523809523809523
9,2.8,11.0,4.7,13.0,1.6785714285714288,1.1818181818181819
10,12.1,21.0,5.6,20.0,0.46280991735537186,0.9523809523809523
11,15.8,25.0,4.7,15.0,0.2974683544303797,0.6
12,19.5,28.0,2.8,10.0,0.14358974358974358,0.35714285714285715
13,7.5,21.0,3.8,13.0,0.5066666666666666,0.6190476190476191
14,7.5,50.0,6.5,25.0,0.8666666666666667,0.5
15,12.1,45.0,4.7,21.0,0.38842975206611574,0.4666666666666667
16,8.4,28.0,12.1,38.0,1.4404761904761905,1.3571428571428572
17,6.5,25.0,5.6,21.0,0.8615384615384615,0.84
18,5.6,15.0,4.7,25.0,0.8392857142857144,1.6666666666666667
19,5.6,13.0,2.8,17.0,0.5,1.3076923076923077
20,6.5,25.0,5.6,21.0,0.8615384615384615,0.84
21,11.2,21.0,8.4,42.0,0.7500000000000001,2.0
22,9.3,21.0,2.8,13.0,0.30107526881720426,0.6190476190476191
23,3.8,13.0,3.8,21.0,1.0,1.6153846153846154
24,5.6,20.0,3.8,25.0,0.6785714285714286,1.25
25,4.7,18.0,4.7,35.0,1.0,1.9444444444444444
26,4.7,25.0,11.2,42.0,2.382978723404255,1.68
27,4.7,17.0,7.5,30.0,1.5957446808510638,1.7647058823529411
28,5.6,13.0,9.3,33.0,1.660714285714286,2.5384615384615383
29,2.8,9.0,7.5,34.0,2.678571428571429,3.7777777777777777
30,3.8,14.0,6.5,28.0,1.7105263157894737,2.0
31,14.9,25.0,3.8,21.0,0.25503355704697983,0.84
32,5.6,21.0,10.2,30.0,1.8214285714285714,1.4285714285714286
33,8.4,25.0,6.5,21.0,0.7738095238095237,0.84
34,6.5,21.0,7.5,21.0,1.1538461538461537,1.0
35,1.9,13.0,3.8,13.0,2.0,1.0
36,4.7,16.0,3.8,9.0,0.8085106382978723,0.5625
37,5.6,13.0,12.1,21.0,2.1607142857142856,1.6153846153846154
38,5.6,30.0,5.6,25.0,1.0,0.8333333333333334
39,6.5,25.0,3.8,21.0,0.5846153846153845,0.84
40,12.1,42.0,3.8,15.0,0.3140495867768595,0.35714285714285715
41,7.5,42.0,1.9,17.0,0.2533333333333333,0.40476190476190477
42,8.4,55.0,3.8,25.0,0.45238095238095233,0.45454545454545453
43,,11.0,3.8,17.0,,1.5454545454545454
44,7.5,13.0,4.7,21.0,0.6266666666666667,1.6153846153846154
45,11.2,28.0,6.5,17.0,0.5803571428571429,0.6071428571428571
46,9.3,30.0,4.7,21.0,0.5053763440860215,0.7
47,9.3,17.0,7.5,25.0,0.8064516129032258,1.4705882352941178
48,11.2,15.0,1.9,13.0,0.16964285714285715,0.8666666666666667
49,5.6,16.0,2.8,17.0,0.5,1.0625
50,3.8,9.0,2.8,14.0,0.7368421052631579,1.5555555555555556
51,5.6,5.0,3.8,24.0,0.6785714285714286,4.8
52,5.6,13.0,12.1,34.0,2.1607142857142856,2.6153846153846154
53,5.6,17.0,10.2,42.0,1.8214285714285714,2.4705882352941178
54,6.5,33.0,5.6,38.0,0.8615384615384615,1.1515151515151516
55,7.5,38.0,4.7,25.0,0.6266666666666667,0.6578947368421053
56,5.6,46.0,2.8,21.0,0.5,0.45652173913043476
57,5.6,46.0,3.8,21.0,0.6785714285714286,0.45652173913043476
58,4.7,38.0,4.7,21.0,1.0,0.5526315789473685
59,2.8,15.0,3.8,21.0,1.3571428571428572,1.4
60,7.5,23.0,3.8,30.0,0.5066666666666666,1.3043478260869565
61,9.3,34.0,4.7,21.0,0.5053763440860215,0.6176470588235294
62,5.6,21.0,3.8,21.0,0.6785714285714286,1.0
63,4.7,23.0,2.8,38.0,0.5957446808510638,1.6521739130434783
64,5.6,31.0,2.8,26.0,0.5,0.8387096774193549
65,4.7,28.0,7.5,33.0,1.5957446808510638,1.1785714285714286
66,8.4,46.0,4.7,30.0,0.5595238095238095,0.6521739130434783
67,5.6,38.0,2.8,25.0,0.5,0.6578947368421053
68,5.6,37.0,2.8,29.0,0.5,0.7837837837837838
69,4.7,30.0,1.9,20.0,0.40425531914893614,0.6666666666666666
