Days since start,median_2019_no2,median_2019_pm25,median_2020_no2,median_2020_pm25,Relative NO2 Levels,Relative PM2.5 Levels
0,6.5,27.0,10.2,42.0,1.5692307692307692,1.5555555555555556
1,6.5,25.0,5.6,26.0,0.8615384615384615,1.04
2,2.8,25.0,2.8,15.0,1.0,0.6
3,2.8,19.0,3.8,17.0,1.3571428571428572,0.8947368421052632
4,11.2,30.0,6.5,34.0,0.5803571428571429,1.1333333333333333
5,13.0,36.0,4.7,21.0,0.36153846153846153,0.5833333333333334
6,7.5,45.0,8.4,30.0,1.12,0.6666666666666666
7,2.8,16.0,3.8,42.0,1.3571428571428572,2.625
8,2.8,18.0,4.7,33.0,1.6785714285714288,1.8333333333333333
9,1.9,18.0,3.8,13.0,2.0,0.7222222222222222
10,14.9,28.0,2.8,17.0,0.1879194630872483,0.6071428571428571
11,9.3,30.0,12.1,22.0,1.3010752688172043,0.7333333333333333
12,6.5,20.0,11.2,28.0,1.723076923076923,1.4
13,17.6,38.0,2.8,35.0,0.15909090909090906,0.9210526315789473
14,1.9,28.0,4.7,33.0,2.473684210526316,1.1785714285714286
15,3.8,18.0,2.8,24.0,0.7368421052631579,1.3333333333333333
16,1.9,19.0,5.6,15.0,2.9473684210526314,0.7894736842105263
17,5.6,29.0,7.5,25.0,1.3392857142857144,0.8620689655172413
18,3.8,31.0,5.6,21.0,1.4736842105263157,0.6774193548387096
19,7.5,45.0,4.7,11.0,0.6266666666666667,0.24444444444444444
20,10.2,32.0,2.8,12.0,0.27450980392156865,0.375
21,6.5,29.0,6.5,25.0,1.0,0.8620689655172413
22,1.9,28.0,3.8,26.0,2.0,0.9285714285714286
23,1.9,31.0,2.8,13.0,1.4736842105263157,0.41935483870967744
24,13.9,35.0,1.9,14.0,0.13669064748201437,0.4
25,7.5,37.0,2.8,17.0,0.3733333333333333,0.4594594594594595
26,4.7,32.0,7.5,20.0,1.5957446808510638,0.625
27,6.5,40.0,4.7,20.0,0.7230769230769231,0.5
28,1.9,25.0,2.8,13.0,1.4736842105263157,0.52
29,1.9,20.0,3.8,18.0,2.0,0.9
30,2.8,27.0,1.9,9.0,0.6785714285714286,0.3333333333333333
31,1.9,15.0,6.5,19.0,3.4210526315789473,1.2666666666666666
32,2.8,22.0,11.2,33.0,4.0,1.5
33,12.1,38.0,9.3,35.0,0.7685950413223142,0.9210526315789473
34,8.4,48.0,5.6,35.0,0.6666666666666666,0.7291666666666666
35,5.6,30.0,6.5,25.0,1.1607142857142858,0.8333333333333334
36,7.5,55.0,5.6,35.0,0.7466666666666666,0.6363636363636364
37,3.8,47.0,6.5,33.0,1.7105263157894737,0.7021276595744681
38,2.8,18.0,3.8,13.0,1.3571428571428572,0.7222222222222222
39,1.9,16.0,4.7,16.0,2.473684210526316,1.0
40,6.5,34.0,5.6,16.0,0.8615384615384615,0.47058823529411764
41,8.4,47.0,6.5,16.0,0.7738095238095237,0.3404255319148936
42,8.4,27.0,6.5,25.0,0.7738095238095237,0.9259259259259259
43,6.5,46.0,5.6,32.0,0.8615384615384615,0.6956521739130435
44,3.8,23.0,4.7,31.0,1.236842105263158,1.3478260869565217
45,3.8,21.0,10.2,29.0,2.6842105263157894,1.380952380952381
46,6.5,55.0,11.2,30.0,1.723076923076923,0.5454545454545454
47,8.4,42.0,8.4,18.0,1.0,0.42857142857142855
48,8.4,30.0,6.5,22.0,0.7738095238095237,0.7333333333333333
49,8.4,23.0,5.6,21.0,0.6666666666666666,0.9130434782608695
