Days since start,median_2019_no2,median_2019_pm25,median_2020_no2,median_2020_pm25,Relative NO2 Levels,Relative PM2.5 Levels
0,7.4,25.0,4.2,53.0,0.5675675675675675,2.12
1,6.9,30.0,6.9,34.0,1.0,1.1333333333333333
2,9.2,42.0,5.1,42.0,0.5543478260869565,1.0
3,5.5,30.0,9.2,38.0,1.6727272727272726,1.2666666666666666
4,10.6,25.0,3.2,13.0,0.30188679245283023,0.52
5,9.2,25.0,4.6,46.0,0.5,1.84
6,6.4,30.0,11.9,46.0,1.859375,1.5333333333333334
7,3.7,21.0,6.0,25.0,1.6216216216216215,1.1904761904761905
8,6.9,25.0,6.9,17.0,1.0,0.68
9,7.4,46.0,6.4,13.0,0.8648648648648649,0.2826086956521739
10,10.6,38.0,8.3,17.0,0.7830188679245284,0.4473684210526316
11,8.7,30.0,4.2,46.0,0.48275862068965525,1.5333333333333334
12,5.1,46.0,4.2,30.0,0.823529411764706,0.6521739130434783
13,3.7,25.0,2.8,13.0,0.7567567567567567,0.52
14,3.2,21.0,3.7,13.0,1.15625,0.6190476190476191
15,5.1,42.0,6.4,25.0,1.254901960784314,0.5952380952380952
16,7.8,25.0,5.5,17.0,0.7051282051282052,0.68
17,7.4,46.0,6.4,21.0,0.8648648648648649,0.45652173913043476
18,11.0,59.0,2.8,17.0,0.2545454545454545,0.288135593220339
19,10.1,30.0,4.6,30.0,0.4554455445544554,1.0
20,7.4,25.0,4.2,21.0,0.5675675675675675,0.84
21,6.4,17.0,4.6,17.0,0.7187499999999999,1.0
22,2.8,9.0,6.9,17.0,2.4642857142857144,1.8888888888888888
23,6.4,17.0,5.1,17.0,0.7968749999999999,1.0
24,6.9,17.0,4.6,21.0,0.6666666666666666,1.2352941176470589
25,3.2,17.0,3.2,38.0,1.0,2.235294117647059
26,5.1,21.0,5.1,25.0,1.0,1.1904761904761905
27,4.2,34.0,4.2,17.0,1.0,0.5
28,4.6,30.0,1.4,30.0,0.30434782608695654,1.0
29,6.4,17.0,2.8,30.0,0.43749999999999994,1.7647058823529411
30,6.9,17.0,6.0,25.0,0.8695652173913043,1.4705882352941178
31,9.2,38.0,3.2,21.0,0.3478260869565218,0.5526315789473685
32,5.1,25.0,4.2,25.0,0.823529411764706,1.0
33,3.7,13.0,13.8,59.0,3.72972972972973,4.538461538461538
34,6.9,17.0,9.2,46.0,1.3333333333333333,2.7058823529411766
35,4.2,17.0,2.8,21.0,0.6666666666666666,1.2352941176470589
36,3.2,13.0,5.5,21.0,1.71875,1.6153846153846154
37,4.2,17.0,6.9,25.0,1.6428571428571428,1.4705882352941178
38,6.0,38.0,7.4,21.0,1.2333333333333334,0.5526315789473685
39,9.2,21.0,2.3,17.0,0.25,0.8095238095238095
40,3.2,21.0,2.8,9.0,0.8749999999999999,0.42857142857142855
41,6.9,25.0,3.2,17.0,0.463768115942029,0.68
42,1.9,13.0,3.7,17.0,1.9473684210526319,1.3076923076923077
43,3.7,17.0,5.5,17.0,1.4864864864864864,1.0
44,3.7,17.0,2.3,17.0,0.6216216216216215,1.0
45,5.1,42.0,4.2,17.0,0.823529411764706,0.40476190476190477
46,4.6,21.0,9.2,25.0,2.0,1.1904761904761905
47,4.6,21.0,4.2,21.0,0.9130434782608696,1.0
48,5.1,21.0,1.9,25.0,0.37254901960784315,1.1904761904761905
49,5.1,25.0,2.3,34.0,0.45098039215686275,1.36
50,4.2,21.0,2.3,17.0,0.5476190476190476,0.8095238095238095
51,4.6,42.0,3.7,17.0,0.8043478260869567,0.40476190476190477
52,5.5,30.0,5.1,25.0,0.9272727272727272,0.8333333333333334
53,3.7,17.0,3.7,25.0,1.0,1.4705882352941178
54,4.6,21.0,2.3,17.0,0.5,0.8095238095238095
55,6.0,53.0,1.4,17.0,0.2333333333333333,0.32075471698113206
56,3.7,21.0,1.9,17.0,0.5135135135135135,0.8095238095238095
57,5.5,21.0,4.6,46.0,0.8363636363636363,2.1904761904761907
58,6.9,25.0,5.1,63.0,0.7391304347826086,2.52
59,6.9,30.0,5.1,30.0,0.7391304347826086,1.0
60,7.4,25.0,2.8,30.0,0.37837837837837834,1.2
61,9.2,25.0,3.2,21.0,0.3478260869565218,0.84
62,6.0,25.0,1.9,17.0,0.31666666666666665,0.68
63,3.7,13.0,2.8,17.0,0.7567567567567567,1.3076923076923077
64,2.8,21.0,4.2,34.0,1.5000000000000002,1.619047619047619
65,4.6,9.0,4.2,25.0,0.9130434782608696,2.7777777777777777
66,4.6,9.0,2.3,21.0,0.5,2.3333333333333335
67,6.0,21.0,3.2,13.0,0.5333333333333333,0.6190476190476191
68,6.0,30.0,4.2,17.0,0.7000000000000001,0.5666666666666667
69,10.1,13.0,3.2,21.0,0.31683168316831684,1.6153846153846154
70,5.1,17.0,2.3,17.0,0.45098039215686275,1.0
71,4.2,42.0,2.8,13.0,0.6666666666666666,0.30952380952380953
72,3.7,21.0,5.5,13.0,1.4864864864864864,0.6190476190476191
73,3.7,13.0,6.0,17.0,1.6216216216216215,1.3076923076923077
74,3.2,21.0,3.7,25.0,1.15625,1.1904761904761905
75,6.0,46.0,4.2,25.0,0.7000000000000001,0.5434782608695652
76,6.4,21.0,5.1,25.0,0.7968749999999999,1.1904761904761905
