Days since start,median_2019_no2,median_2019_pm25,median_2020_no2,median_2020_pm25,Relative NO2 Levels,Relative PM2.5 Levels
0,5.6,26.0,3.8,16.0,0.6785714285714286,0.6153846153846154
1,3.8,44.0,6.5,17.0,1.7105263157894737,0.38636363636363635
2,5.6,42.0,1.9,17.0,0.3392857142857143,0.40476190476190477
3,3.8,30.0,1.9,43.0,0.5,1.4333333333333333
4,1.9,30.0,1.9,21.0,1.0,0.7
5,1.9,25.0,4.7,25.0,2.473684210526316,1.0
6,2.8,33.0,3.8,21.0,1.3571428571428572,0.6363636363636364
7,5.6,25.0,7.5,25.0,1.3392857142857144,1.0
8,2.8,32.0,2.8,21.0,1.0,0.65625
9,1.9,34.0,2.8,20.0,1.4736842105263157,0.5882352941176471
10,6.5,25.0,1.9,21.0,0.29230769230769227,0.84
11,7.5,30.0,5.6,21.0,0.7466666666666666,0.7
12,2.8,21.0,2.8,19.0,1.0,0.9047619047619048
13,1.9,21.0,2.8,19.0,1.4736842105263157,0.9047619047619048
14,2.8,27.0,2.8,15.0,1.0,0.5555555555555556
15,1.9,25.0,3.8,15.0,2.0,0.6
16,1.9,84.0,3.8,17.0,2.0,0.20238095238095238
17,1.9,21.0,4.7,21.0,2.473684210526316,1.0
18,3.8,24.0,5.6,17.0,1.4736842105263157,0.7083333333333334
19,2.8,25.0,1.0,25.0,0.35714285714285715,1.0
20,2.8,25.0,1.9,21.0,0.6785714285714286,0.84
21,3.8,25.0,1.9,17.0,0.5,0.68
22,2.8,25.0,4.7,25.0,1.6785714285714288,1.0
23,1.9,25.0,2.8,21.0,1.4736842105263157,0.84
24,3.8,17.0,2.8,23.0,0.7368421052631579,1.3529411764705883
25,5.6,25.0,2.8,27.0,0.5,1.08
26,6.5,38.0,1.0,17.0,0.15384615384615385,0.4473684210526316
27,1.0,21.0,1.9,21.0,1.9,1.0
28,3.8,30.0,1.9,21.0,0.5,0.7
29,2.8,17.0,2.8,17.0,1.0,1.0
30,3.8,13.0,1.9,22.0,0.5,1.6923076923076923
31,4.7,21.0,3.8,25.0,0.8085106382978723,1.1904761904761905
32,4.7,28.0,2.8,30.0,0.5957446808510638,1.0714285714285714
33,1.9,25.0,2.8,29.0,1.4736842105263157,1.16
34,1.9,22.0,2.8,27.0,1.4736842105263157,1.2272727272727273
35,2.8,21.0,2.8,25.0,1.0,1.1904761904761905
36,1.9,25.0,1.9,34.0,1.0,1.36
37,2.8,17.0,5.6,34.0,2.0,2.0
38,2.8,21.0,1.9,34.0,0.6785714285714286,1.619047619047619
39,3.8,17.0,1.9,30.0,0.5,1.7647058823529411
40,3.8,21.0,1.0,30.0,0.2631578947368421,1.4285714285714286
41,1.9,24.0,1.9,25.0,1.0,1.0416666666666667
42,2.8,25.0,2.8,42.0,1.0,1.68
43,1.9,31.0,4.7,38.0,2.473684210526316,1.2258064516129032
44,1.9,20.0,1.9,26.0,1.0,1.3
45,3.8,25.0,1.9,38.0,0.5,1.52
46,3.8,25.0,2.8,34.0,0.7368421052631579,1.36
47,5.6,21.0,3.8,34.0,0.6785714285714286,1.619047619047619
48,2.8,19.0,4.7,25.0,1.6785714285714288,1.3157894736842106
49,3.8,17.0,1.9,21.0,0.5,1.2352941176470589
50,5.6,21.0,1.0,22.0,0.17857142857142858,1.0476190476190477
51,9.3,27.0,1.9,21.0,0.2043010752688172,0.7777777777777778
52,4.7,26.0,1.9,21.0,0.40425531914893614,0.8076923076923077
53,1.9,34.0,1.9,25.0,1.0,0.7352941176470589
54,1.9,25.0,1.9,25.0,1.0,1.0
55,1.9,25.0,3.8,36.0,2.0,1.44
56,1.0,38.0,3.8,30.0,3.8,0.7894736842105263
57,1.9,30.0,2.8,21.0,1.4736842105263157,0.7
58,1.9,46.0,2.8,21.0,1.4736842105263157,0.45652173913043476
59,4.7,38.0,1.9,23.0,0.40425531914893614,0.6052631578947368
60,4.7,25.0,1.0,17.0,0.2127659574468085,0.68
61,4.7,25.0,1.0,17.0,0.2127659574468085,0.68
62,3.8,45.0,1.9,24.0,0.5,0.5333333333333333
63,1.9,38.0,2.8,21.0,1.4736842105263157,0.5526315789473685
64,1.9,20.0,2.8,25.0,1.4736842105263157,1.25
65,1.9,21.0,5.6,30.0,2.9473684210526314,1.4285714285714286
66,4.7,38.0,2.8,24.0,0.5957446808510638,0.631578947368421
67,3.8,46.0,2.8,23.0,0.7368421052631579,0.5
