Days since start,median_2019_no2,median_2019_pm25,median_2020_no2,median_2020_pm25,Relative NO2 Levels,Relative PM2.5 Levels
0,4.7,25.0,4.7,16.0,1.0,0.64
1,3.8,15.0,5.6,25.0,1.4736842105263157,1.6666666666666667
2,3.8,20.0,3.8,32.0,1.0,1.6
3,5.6,27.0,2.8,20.0,0.5,0.7407407407407407
4,6.5,44.0,6.5,27.0,1.0,0.6136363636363636
5,5.6,32.0,3.8,20.0,0.6785714285714286,0.625
6,3.8,22.0,2.8,13.0,0.7368421052631579,0.5909090909090909
7,4.7,20.0,3.8,15.0,0.8085106382978723,0.75
8,6.5,29.0,5.6,22.0,0.8615384615384615,0.7586206896551724
9,4.7,16.0,3.8,15.0,0.8085106382978723,0.9375
10,5.6,21.0,2.8,11.0,0.5,0.5238095238095238
11,4.7,18.0,2.8,11.0,0.5957446808510638,0.6111111111111112
12,5.6,29.0,3.8,15.0,0.6785714285714286,0.5172413793103449
13,2.8,12.0,3.8,18.0,1.3571428571428572,1.5
14,3.8,11.0,2.8,10.0,0.7368421052631579,0.9090909090909091
15,6.5,30.0,7.5,26.0,1.1538461538461537,0.8666666666666667
16,4.7,25.0,4.7,33.0,1.0,1.32
17,5.6,38.0,3.8,46.0,0.6785714285714286,1.2105263157894737
18,4.7,28.0,4.7,28.0,1.0,1.0
19,2.8,14.0,6.5,40.0,2.3214285714285716,2.857142857142857
20,4.7,23.0,7.5,36.0,1.5957446808510638,1.565217391304348
21,6.5,28.0,4.7,36.0,0.7230769230769231,1.2857142857142858
22,9.3,49.0,3.8,24.0,0.4086021505376344,0.4897959183673469
23,5.6,53.0,2.8,20.0,0.5,0.37735849056603776
24,3.8,20.0,4.7,32.0,1.236842105263158,1.6
25,3.8,31.0,4.7,24.0,1.236842105263158,0.7741935483870968
26,7.5,42.0,2.8,27.0,0.3733333333333333,0.6428571428571429
27,6.5,48.0,4.7,38.0,0.7230769230769231,0.7916666666666666
28,8.4,52.0,3.8,18.0,0.45238095238095233,0.34615384615384615
29,5.6,43.0,5.6,30.0,1.0,0.6976744186046512
30,5.6,37.0,3.8,59.0,0.6785714285714286,1.5945945945945945
31,6.5,42.0,3.8,24.0,0.5846153846153845,0.5714285714285714
32,3.8,43.0,3.8,21.0,1.0,0.4883720930232558
33,3.8,46.0,5.6,45.0,1.4736842105263157,0.9782608695652174
34,3.8,37.0,5.6,46.0,1.4736842105263157,1.2432432432432432
35,4.7,39.0,2.8,12.0,0.5957446808510638,0.3076923076923077
36,5.6,31.0,3.8,18.0,0.6785714285714286,0.5806451612903226
37,6.5,32.0,2.8,18.0,0.43076923076923074,0.5625
38,5.6,31.0,1.9,17.0,0.3392857142857143,0.5483870967741935
39,3.8,27.0,4.7,19.0,1.236842105263158,0.7037037037037037
40,2.8,13.0,3.8,25.0,1.3571428571428572,1.9230769230769231
41,4.7,20.0,2.8,25.0,0.5957446808510638,1.25
42,4.7,30.0,7.5,33.0,1.5957446808510638,1.1
43,4.7,35.0,7.5,53.0,1.5957446808510638,1.5142857142857142
44,4.7,26.0,5.6,52.0,1.1914893617021276,2.0
45,7.5,33.0,3.8,33.0,0.5066666666666666,1.0
46,5.6,42.0,2.8,21.0,0.5,0.5
47,3.8,17.0,3.8,20.0,1.0,1.1764705882352942
48,4.7,21.0,2.8,16.0,0.5957446808510638,0.7619047619047619
49,4.7,21.0,1.9,16.0,0.40425531914893614,0.7619047619047619
50,3.8,6.0,2.8,16.0,0.7368421052631579,2.6666666666666665
51,3.8,14.0,3.8,27.0,1.0,1.9285714285714286
52,4.7,23.0,2.8,,0.5957446808510638,
53,2.8,9.0,2.8,,1.0,
54,3.8,13.0,3.8,18.0,1.0,1.3846153846153846
55,2.8,18.0,3.8,23.0,1.3571428571428572,1.2777777777777777
56,3.8,18.0,4.7,28.0,1.236842105263158,1.5555555555555556
57,4.7,21.0,4.7,19.0,1.0,0.9047619047619048
58,5.6,28.0,4.7,23.0,0.8392857142857144,0.8214285714285714
59,4.7,35.0,5.6,21.0,1.1914893617021276,0.6
60,2.8,13.0,6.5,39.0,2.3214285714285716,3.0
61,5.6,16.0,6.5,42.0,1.1607142857142858,2.625
62,9.3,41.0,4.7,43.0,0.5053763440860215,1.048780487804878
63,5.6,52.0,5.6,25.0,1.0,0.4807692307692308
64,8.4,51.0,5.6,28.0,0.6666666666666666,0.5490196078431373
65,6.5,30.0,2.8,23.0,0.43076923076923074,0.7666666666666667
