Days since start,median_2019_no2,median_2019_pm25,median_2020_no2,median_2020_pm25,Relative NO2 Levels,Relative PM2.5 Levels
0,7.4,28.0,6.9,49.0,0.9324324324324325,1.75
1,1.9,5.0,1.0,14.0,0.5263157894736842,2.8
2,1.0,10.0,1.4,25.0,1.4,2.5
3,4.2,18.0,2.8,23.0,0.6666666666666666,1.2777777777777777
4,1.9,18.0,1.0,8.0,0.5263157894736842,0.4444444444444444
5,1.9,14.0,4.6,25.0,2.4210526315789473,1.7857142857142858
6,7.4,22.0,2.8,29.0,0.37837837837837834,1.3181818181818181
7,5.5,27.0,3.7,18.0,0.6727272727272727,0.6666666666666666
8,10.1,33.0,5.5,29.0,0.5445544554455446,0.8787878787878788
9,4.2,45.0,2.3,10.0,0.5476190476190476,0.2222222222222222
10,1.4,23.0,1.4,10.0,1.0,0.43478260869565216
11,1.0,13.0,1.4,21.0,1.4,1.6153846153846154
12,7.4,24.0,2.3,21.0,0.31081081081081074,0.875
13,1.4,25.0,1.0,11.0,0.7142857142857143,0.44
14,1.4,16.0,1.0,3.0,0.7142857142857143,0.1875
15,4.2,24.0,1.0,13.0,0.23809523809523808,0.5416666666666666
16,2.8,32.0,2.3,34.0,0.8214285714285714,1.0625
17,5.1,36.0,2.3,18.0,0.45098039215686275,0.5
18,2.8,26.0,2.3,19.0,0.8214285714285714,0.7307692307692307
19,2.8,38.0,2.3,24.0,0.8214285714285714,0.631578947368421
20,1.9,12.0,3.2,25.0,1.6842105263157896,2.0833333333333335
21,2.8,18.0,1.4,9.0,0.5,0.5
22,5.1,27.0,1.0,10.0,0.19607843137254904,0.37037037037037035
23,2.3,25.0,3.2,35.0,1.3913043478260871,1.4
24,3.2,28.0,2.3,28.0,0.7187499999999999,1.0
25,1.4,14.0,1.4,18.0,1.0,1.2857142857142858
26,1.0,9.0,1.4,22.0,1.4,2.4444444444444446
27,2.8,10.0,1.4,16.0,0.5,1.6
28,4.2,20.0,3.7,27.0,0.8809523809523809,1.35
29,1.9,40.0,2.3,25.0,1.2105263157894737,0.625
30,2.8,25.0,3.2,42.0,1.142857142857143,1.68
31,3.7,23.0,1.9,16.0,0.5135135135135135,0.6956521739130435
32,3.2,23.0,3.2,29.0,1.0,1.2608695652173914
33,1.4,23.0,1.0,17.0,0.7142857142857143,0.7391304347826086
34,1.4,12.0,6.0,33.0,4.285714285714286,2.75
35,2.3,16.0,3.2,41.0,1.3913043478260871,2.5625
36,2.8,18.0,5.5,33.0,1.9642857142857144,1.8333333333333333
37,1.4,8.0,1.9,23.0,1.3571428571428572,2.875
38,2.8,23.0,1.0,4.0,0.35714285714285715,0.17391304347826086
39,3.2,21.0,1.4,18.0,0.43749999999999994,0.8571428571428571
40,2.8,22.0,4.2,22.0,1.5000000000000002,1.0
41,6.9,27.0,2.8,26.0,0.40579710144927533,0.9629629629629629
42,3.2,28.0,2.3,15.0,0.7187499999999999,0.5357142857142857
43,3.2,30.0,1.0,18.0,0.3125,0.6
44,3.2,40.0,2.3,32.0,0.7187499999999999,0.8
45,2.3,19.0,1.0,11.0,0.4347826086956522,0.5789473684210527
46,1.9,15.0,1.0,15.0,0.5263157894736842,1.0
47,3.2,23.0,3.7,21.0,1.15625,0.9130434782608695
48,1.4,18.0,4.2,24.0,3.0000000000000004,1.3333333333333333
49,4.6,20.0,1.9,17.0,0.41304347826086957,0.85
50,3.7,31.0,1.0,8.0,0.27027027027027023,0.25806451612903225
51,1.0,15.0,2.8,17.0,2.8,1.1333333333333333
52,1.9,15.0,5.1,30.0,2.6842105263157894,2.0
53,2.3,17.0,1.0,17.0,0.4347826086956522,1.0
54,1.9,10.0,1.0,18.0,0.5263157894736842,1.8
55,2.3,15.0,6.0,28.0,2.608695652173913,1.8666666666666667
56,3.2,22.0,4.2,48.0,1.3125,2.1818181818181817
57,7.4,51.0,1.0,15.0,0.13513513513513511,0.29411764705882354
58,1.4,15.0,1.9,17.0,1.3571428571428572,1.1333333333333333
59,2.8,35.0,2.3,21.0,0.8214285714285714,0.6
60,3.2,47.0,1.9,20.0,0.5937499999999999,0.425531914893617
61,1.0,13.0,3.7,19.0,3.7,1.4615384615384615
62,2.3,13.0,4.6,23.0,2.0,1.7692307692307692
63,3.7,25.0,4.2,35.0,1.135135135135135,1.4
64,1.4,17.0,1.4,28.0,1.0,1.6470588235294117
65,3.7,19.0,1.0,31.0,0.27027027027027023,1.631578947368421
66,1.4,25.0,1.4,33.0,1.0,1.32
67,1.0,21.0,2.8,22.0,2.8,1.0476190476190477
68,1.9,24.0,3.2,20.0,1.6842105263157896,0.8333333333333334
69,1.9,14.0,2.8,23.0,1.4736842105263157,1.6428571428571428
70,3.2,26.0,1.9,25.0,0.5937499999999999,0.9615384615384616
71,2.8,48.0,1.4,20.0,0.5,0.4166666666666667
