Days since start,median_2019_no2,median_2019_pm25,median_2020_no2,median_2020_pm25,Relative NO2 Levels,Relative PM2.5 Levels
0,15.8,38.0,8.4,20.0,0.5316455696202531,0.5263157894736842
1,16.7,42.0,26.9,29.0,1.6107784431137724,0.6904761904761905
2,30.6,33.0,16.7,30.0,0.545751633986928,0.9090909090909091
3,31.5,31.0,11.2,18.0,0.3555555555555555,0.5806451612903226
4,31.5,42.0,6.5,23.0,0.20634920634920634,0.5476190476190477
5,16.7,35.0,13.0,30.0,0.7784431137724551,0.8571428571428571
6,21.3,49.0,22.3,21.0,1.0469483568075117,0.42857142857142855
7,10.2,47.0,19.5,30.0,1.911764705882353,0.6382978723404256
8,13.0,31.0,12.1,21.0,0.9307692307692308,0.6774193548387096
9,17.6,27.0,6.5,25.0,0.36931818181818177,0.9259259259259259
10,20.4,30.0,7.5,22.0,0.36764705882352944,0.7333333333333333
11,11.2,31.0,4.7,26.0,0.4196428571428572,0.8387096774193549
12,9.3,44.0,10.2,14.0,1.096774193548387,0.3181818181818182
13,20.4,55.0,14.9,25.0,0.7303921568627452,0.45454545454545453
14,28.8,55.0,10.2,14.0,0.35416666666666663,0.2545454545454545
15,13.9,25.0,10.2,17.0,0.7338129496402876,0.68
16,18.6,25.0,14.9,26.0,0.8010752688172043,1.04
17,19.5,43.0,7.5,35.0,0.38461538461538464,0.813953488372093
18,22.3,50.0,4.7,42.0,0.21076233183856502,0.84
19,17.6,50.0,12.1,39.0,0.6874999999999999,0.78
20,27.8,47.0,24.1,42.0,0.8669064748201439,0.8936170212765957
21,8.4,42.0,6.5,39.0,0.7738095238095237,0.9285714285714286
22,9.3,18.0,6.5,46.0,0.6989247311827956,2.5555555555555554
23,13.0,18.0,8.4,45.0,0.6461538461538462,2.5
24,11.2,17.0,5.6,42.0,0.5,2.4705882352941178
25,8.4,25.0,2.8,17.0,0.3333333333333333,0.68
26,13.0,47.0,8.4,12.0,0.6461538461538462,0.2553191489361702
27,26.0,55.0,9.3,17.0,0.3576923076923077,0.3090909090909091
28,14.9,51.0,11.2,22.0,0.7516778523489932,0.43137254901960786
29,9.3,21.0,7.5,17.0,0.8064516129032258,0.8095238095238095
30,23.2,55.0,7.5,10.0,0.3232758620689655,0.18181818181818182
31,15.8,46.0,7.5,29.0,0.47468354430379744,0.6304347826086957
32,14.9,50.0,4.7,29.0,0.31543624161073824,0.58
33,13.0,48.0,8.4,22.0,0.6461538461538462,0.4583333333333333
34,15.8,45.0,18.6,41.0,1.1772151898734178,0.9111111111111111
35,9.3,36.0,24.1,44.0,2.5913978494623655,1.2222222222222223
36,22.3,45.0,10.2,44.0,0.4573991031390134,0.9777777777777777
37,27.8,57.0,7.5,38.0,0.2697841726618705,0.6666666666666666
38,16.7,55.0,5.6,21.0,0.33532934131736525,0.38181818181818183
39,6.5,38.0,3.8,21.0,0.5846153846153845,0.5526315789473685
40,6.5,30.0,12.1,30.0,1.8615384615384616,1.0
41,18.6,53.0,12.1,34.0,0.6505376344086021,0.6415094339622641
42,16.7,63.0,18.6,50.0,1.1137724550898205,0.7936507936507936
43,12.1,59.0,18.6,46.0,1.5371900826446283,0.7796610169491526
44,16.7,55.0,19.5,41.0,1.1676646706586826,0.7454545454545455
45,16.7,46.0,11.2,57.0,0.6706586826347305,1.2391304347826086
46,10.2,50.0,12.1,61.0,1.1862745098039216,1.22
47,7.5,38.0,11.2,59.0,1.4933333333333332,1.5526315789473684
48,9.3,32.0,8.4,56.0,0.9032258064516129,1.75
49,12.1,30.0,14.9,52.0,1.231404958677686,1.7333333333333334
50,18.6,46.0,15.8,61.0,0.8494623655913979,1.326086956521739
51,20.4,55.0,10.2,51.0,0.5,0.9272727272727272
52,13.9,57.0,7.5,43.0,0.539568345323741,0.7543859649122807
53,7.5,60.0,6.5,44.0,0.8666666666666667,0.7333333333333333
54,5.6,51.0,14.9,52.0,2.660714285714286,1.0196078431372548
55,10.2,25.0,19.5,55.0,1.911764705882353,2.2
56,12.1,20.0,27.8,57.0,2.297520661157025,2.85
57,15.8,25.0,13.0,58.0,0.8227848101265822,2.32
58,11.2,22.0,10.2,61.0,0.9107142857142857,2.772727272727273
59,10.2,17.0,6.5,65.0,0.6372549019607844,3.823529411764706
60,12.1,27.0,5.6,54.0,0.46280991735537186,2.0
61,5.6,39.0,6.5,45.0,1.1607142857142858,1.1538461538461537
62,8.4,42.0,11.2,32.0,1.3333333333333333,0.7619047619047619
63,10.2,50.0,13.0,29.0,1.2745098039215688,0.58
64,10.2,41.0,11.2,41.0,1.0980392156862746,1.0
65,11.2,30.0,7.5,41.0,0.6696428571428572,1.3666666666666667
66,15.8,42.0,9.3,45.0,0.5886075949367089,1.0714285714285714
67,10.2,43.0,3.8,46.0,0.37254901960784315,1.069767441860465
68,3.8,23.0,7.5,15.0,1.973684210526316,0.6521739130434783
69,8.4,26.0,12.1,28.0,1.4404761904761905,1.0769230769230769
70,11.2,34.0,12.1,34.0,1.0803571428571428,1.0
71,14.9,30.0,20.4,48.0,1.3691275167785233,1.6
72,12.1,42.0,3.8,53.0,0.3140495867768595,1.2619047619047619
73,16.7,41.0,3.8,52.0,0.2275449101796407,1.2682926829268293
74,9.3,30.0,6.5,61.0,0.6989247311827956,2.033333333333333
75,4.7,30.0,9.3,62.0,1.9787234042553192,2.066666666666667
76,6.5,28.0,13.9,57.0,2.1384615384615384,2.0357142857142856
77,13.9,34.0,13.0,53.0,0.935251798561151,1.5588235294117647
78,17.6,49.0,11.2,46.0,0.6363636363636362,0.9387755102040817
79,14.9,56.0,7.5,20.0,0.5033557046979865,0.35714285714285715
80,9.3,51.0,6.5,25.0,0.6989247311827956,0.49019607843137253
