Days since start,median_2019_no2,median_2019_pm25,median_2020_no2,median_2020_pm25,Relative NO2 Levels,Relative PM2.5 Levels
0,20.1,42.0,6.5,52.0,0.3233830845771144,1.2380952380952381
1,17.5,59.0,6.4,38.0,0.3657142857142857,0.6440677966101694
2,11.2,42.0,6.5,16.0,0.5803571428571429,0.38095238095238093
3,12.1,21.0,3.8,15.0,0.3140495867768595,0.7142857142857143
4,22.3,42.0,2.8,38.0,0.12556053811659193,0.9047619047619048
5,12.1,55.0,10.2,57.0,0.8429752066115702,1.0363636363636364
6,10.2,13.0,11.2,63.0,1.0980392156862746,4.846153846153846
7,15.5,28.0,13.1,68.0,0.8451612903225806,2.4285714285714284
8,15.8,39.0,4.7,38.0,0.2974683544303797,0.9743589743589743
9,8.4,46.0,4.4,44.0,0.5238095238095238,0.9565217391304348
10,11.2,30.0,3.8,30.0,0.3392857142857143,1.0
11,8.3,17.0,2.6,8.0,0.3132530120481928,0.47058823529411764
12,5.6,15.0,3.8,16.0,0.6785714285714286,1.0666666666666667
13,11.2,31.0,4.0,21.0,0.35714285714285715,0.6774193548387096
14,9.6,40.0,4.1,24.0,0.4270833333333333,0.6
15,13.6,25.0,8.4,28.0,0.6176470588235294,1.12
16,8.3,34.0,6.5,25.0,0.7831325301204819,0.7352941176470589
17,8.4,52.0,2.8,25.0,0.3333333333333333,0.4807692307692308
18,10.7,69.0,3.2,27.0,0.2990654205607477,0.391304347826087
19,12.3,63.0,8.6,50.0,0.6991869918699186,0.7936507936507936
20,12.1,25.0,8.5,56.0,0.7024793388429752,2.24
21,10.0,14.0,8.4,50.0,0.8400000000000001,3.5714285714285716
22,3.3,13.0,3.8,19.0,1.1515151515151516,1.4615384615384615
23,4.0,25.0,5.0,19.0,1.25,0.76
24,6.5,19.0,6.9,54.0,1.0615384615384615,2.8421052631578947
25,5.0,15.0,3.8,51.0,0.76,3.4
26,5.1,15.0,4.0,17.0,0.7843137254901962,1.1333333333333333
27,15.8,22.0,7.5,25.0,0.47468354430379744,1.1363636363636365
28,10.2,42.0,11.3,27.0,1.107843137254902,0.6428571428571429
29,7.5,59.0,11.2,27.0,1.4933333333333332,0.4576271186440678
30,7.7,20.0,6.5,38.0,0.8441558441558441,1.9
31,5.6,13.0,3.8,45.0,0.6785714285714286,3.4615384615384617
32,7.5,13.0,2.8,20.0,0.3733333333333333,1.5384615384615385
33,10.2,41.0,6.9,25.0,0.6764705882352942,0.6097560975609756
34,11.2,34.0,6.5,19.0,0.5803571428571429,0.5588235294117647
35,5.3,17.0,4.4,31.0,0.8301886792452832,1.8235294117647058
36,8.4,21.0,4.8,58.0,0.5714285714285714,2.761904761904762
37,11.2,46.0,6.5,54.0,0.5803571428571429,1.173913043478261
38,6.5,21.0,7.2,37.0,1.1076923076923078,1.7619047619047619
39,4.7,16.0,5.6,23.0,1.1914893617021276,1.4375
40,4.7,20.0,17.5,38.0,3.723404255319149,1.9
41,5.6,26.0,10.2,55.0,1.8214285714285714,2.1153846153846154
42,4.7,30.0,4.0,15.0,0.851063829787234,0.5
43,6.5,21.0,5.6,17.0,0.8615384615384615,0.8095238095238095
44,8.4,28.0,6.5,28.0,0.7738095238095237,1.0
45,10.2,17.0,6.5,36.0,0.6372549019607844,2.1176470588235294
46,10.2,30.0,3.8,18.0,0.37254901960784315,0.6
47,7.5,27.0,6.3,15.0,0.84,0.5555555555555556
48,11.2,18.0,4.7,17.0,0.4196428571428572,0.9444444444444444
49,10.3,13.0,10.2,20.0,0.9902912621359222,1.5384615384615385
50,5.6,21.0,3.4,20.0,0.6071428571428572,0.9523809523809523
51,7.5,21.0,2.8,13.0,0.3733333333333333,0.6190476190476191
52,6.7,11.0,5.6,19.0,0.835820895522388,1.7272727272727273
53,5.6,21.0,3.8,18.0,0.6785714285714286,0.8571428571428571
54,6.5,21.0,7.5,19.0,1.1538461538461537,0.9047619047619048
55,8.5,20.0,7.8,25.0,0.9176470588235294,1.25
56,12.3,26.0,3.2,27.0,0.26016260162601623,1.0384615384615385
57,8.5,41.0,10.4,37.0,1.223529411764706,0.9024390243902439
58,18.6,38.0,8.4,32.0,0.45161290322580644,0.8421052631578947
59,7.5,13.0,2.2,20.0,0.29333333333333333,1.5384615384615385
60,5.6,25.0,3.0,23.0,0.5357142857142857,0.92
61,4.7,21.0,4.7,11.0,1.0,0.5238095238095238
62,5.0,9.0,8.5,23.0,1.7,2.5555555555555554
63,4.0,17.0,3.8,33.0,0.95,1.9411764705882353
64,6.5,30.0,3.0,27.0,0.46153846153846156,0.9
65,9.3,15.0,3.8,26.0,0.4086021505376344,1.7333333333333334
66,6.5,23.0,3.8,28.0,0.5846153846153845,1.2173913043478262
67,6.5,28.0,3.8,30.0,0.5846153846153845,1.0714285714285714
68,4.7,18.0,4.9,33.0,1.0425531914893618,1.8333333333333333
69,7.1,32.0,3.8,30.0,0.5352112676056338,0.9375
70,10.9,26.0,6.0,37.0,0.5504587155963303,1.4230769230769231
71,9.3,37.0,10.2,24.0,1.096774193548387,0.6486486486486487
72,18.6,21.0,7.6,21.0,0.4086021505376344,1.0
73,12.1,45.0,5.6,16.0,0.46280991735537186,0.35555555555555557
