Days since start,median_2019_no2,median_2019_pm25,median_2020_no2,median_2020_pm25,Relative NO2 Levels,Relative PM2.5 Levels
0,11.48,23.2,16.759999999999998,41.0,1.45993031358885,1.767241379310345
1,11.620000000000001,23.4,17.700000000000003,23.4,1.5232358003442341,1.0
2,26.5,29.2,19.240000000000002,33.4,0.7260377358490567,1.143835616438356
3,21.779999999999998,26.6,10.22,21.8,0.46923783287419657,0.8195488721804511
4,16.540000000000003,37.0,6.640000000000001,17.2,0.4014510278113664,0.46486486486486484
5,6.38,11.0,6.18,18.0,0.9686520376175548,1.6363636363636365
6,7.639999999999999,11.0,10.5,19.4,1.3743455497382202,1.7636363636363634
7,16.580000000000002,27.4,16.32,22.6,0.9843184559710494,0.8248175182481753
8,19.36,24.0,13.36,24.2,0.6900826446280992,1.0083333333333333
9,22.86,27.4,17.759999999999998,18.2,0.7769028871391075,0.6642335766423357
10,20.779999999999998,33.2,19.240000000000002,33.6,0.9258902791145334,1.0120481927710843
11,7.340000000000001,13.2,4.76,17.0,0.6485013623978201,1.2878787878787878
12,6.540000000000001,13.8,6.58,24.2,1.0061162079510702,1.753623188405797
13,11.219999999999999,14.8,12.2,14.6,1.0873440285204992,0.9864864864864864
14,15.7,26.6,9.520000000000001,14.4,0.6063694267515924,0.5413533834586466
15,10.3,13.4,11.72,21.2,1.137864077669903,1.5820895522388059
16,14.1,15.6,14.860000000000003,26.0,1.0539007092198585,1.6666666666666667
17,15.819999999999999,18.6,13.34,27.6,0.8432364096080911,1.4838709677419355
18,29.839999999999996,65.2,11.68,23.4,0.3914209115281502,0.3588957055214724
19,14.38,37.6,6.359999999999999,10.6,0.44228094575799715,0.28191489361702127
20,8.74,27.0,16.96,20.0,1.9405034324942791,0.7407407407407407
21,8.959999999999999,12.6,11.440000000000001,12.0,1.2767857142857146,0.9523809523809524
22,13.8,14.4,8.42,17.6,0.6101449275362318,1.2222222222222223
23,8.239999999999998,20.0,5.7,12.0,0.6917475728155341,0.6
24,9.92,17.8,6.14,10.0,0.6189516129032258,0.5617977528089887
25,16.880000000000003,18.6,6.32,11.0,0.3744075829383886,0.5913978494623655
26,14.36,24.0,17.12,39.2,1.1922005571030643,1.6333333333333335
27,17.16,31.2,9.680000000000001,16.0,0.5641025641025642,0.5128205128205129
28,15.1,28.2,11.14,17.8,0.737748344370861,0.6312056737588653
29,16.640000000000004,21.2,13.219999999999999,35.4,0.7944711538461536,1.669811320754717
30,9.4,11.0,10.52,16.8,1.1191489361702127,1.5272727272727273
31,16.22,15.0,4.86,13.6,0.29963008631319366,0.9066666666666666
32,18.04,24.4,5.0,16.0,0.2771618625277162,0.6557377049180328
33,10.120000000000001,24.6,8.920000000000002,34.6,0.8814229249011859,1.4065040650406504
34,12.959999999999999,22.4,6.5200000000000005,18.0,0.5030864197530865,0.8035714285714286
35,7.040000000000001,12.0,5.9799999999999995,12.4,0.849431818181818,1.0333333333333334
36,8.139999999999999,10.8,6.380000000000001,15.6,0.783783783783784,1.4444444444444444
37,12.160000000000002,11.6,7.2,20.2,0.5921052631578947,1.7413793103448276
38,16.86,31.0,11.120000000000001,19.8,0.6595492289442468,0.6387096774193549
39,11.2,30.0,10.959999999999999,18.0,0.9785714285714285,0.6
40,8.68,22.8,9.919999999999998,26.8,1.1428571428571426,1.1754385964912282
