Days since start,median_2019_no2,median_2019_pm25,median_2020_no2,median_2020_pm25,Relative NO2 Levels,Relative PM2.5 Levels
0,5.6,21.0,10.2,21.0,1.8214285714285714,1.0
1,10.2,25.0,11.2,25.0,1.0980392156862746,1.0
2,9.3,21.0,9.3,21.0,1.0,1.0
3,6.5,25.0,8.4,21.0,1.2923076923076924,0.84
4,10.2,30.0,5.6,25.0,0.5490196078431373,0.8333333333333334
5,10.2,25.0,5.6,13.0,0.5490196078431373,0.52
6,9.3,17.0,6.5,13.0,0.6989247311827956,0.7647058823529411
7,6.5,17.0,7.5,13.0,1.1538461538461537,0.7647058823529411
8,9.3,25.0,4.7,34.0,0.5053763440860215,1.36
9,10.2,21.0,4.7,42.0,0.4607843137254902,2.0
10,10.2,21.0,3.8,21.0,0.37254901960784315,1.0
11,9.3,30.0,5.6,9.0,0.6021505376344085,0.3
12,13.9,34.0,5.6,13.0,0.40287769784172656,0.38235294117647056
13,8.4,17.0,3.8,21.0,0.45238095238095233,1.2352941176470589
14,6.5,13.0,6.5,17.0,1.0,1.3076923076923077
15,6.5,13.0,7.5,21.0,1.1538461538461537,1.6153846153846154
16,6.5,13.0,3.8,13.0,0.5846153846153845,1.0
17,6.5,17.0,2.8,13.0,0.43076923076923074,0.7647058823529411
18,5.6,25.0,9.3,17.0,1.660714285714286,0.68
19,7.5,25.0,8.4,17.0,1.12,0.68
20,4.7,21.0,5.6,25.0,1.1914893617021276,1.1904761904761905
21,7.5,25.0,4.7,13.0,0.6266666666666667,0.52
22,7.5,25.0,4.7,17.0,0.6266666666666667,0.68
23,7.5,21.0,2.8,17.0,0.3733333333333333,0.8095238095238095
24,7.5,38.0,2.8,42.0,0.3733333333333333,1.105263157894737
25,3.8,30.0,4.7,50.0,1.236842105263158,1.6666666666666667
26,7.5,30.0,9.3,30.0,1.24,1.0
27,6.5,21.0,8.4,42.0,1.2923076923076924,2.0
28,10.2,30.0,2.8,21.0,0.27450980392156865,0.7
29,13.0,34.0,2.8,21.0,0.21538461538461537,0.6176470588235294
30,8.4,21.0,2.8,21.0,0.3333333333333333,1.0
31,3.8,25.0,3.8,21.0,1.0,0.84
32,4.7,42.0,2.8,21.0,0.5957446808510638,0.5
33,13.0,53.0,3.8,25.0,0.29230769230769227,0.4716981132075472
34,14.9,50.0,5.6,21.0,0.3758389261744966,0.42
35,12.1,57.0,5.6,21.0,0.46280991735537186,0.3684210526315789
36,9.3,53.0,9.3,34.0,1.0,0.6415094339622641
37,8.4,55.0,7.5,30.0,0.8928571428571428,0.5454545454545454
38,4.7,55.0,2.8,21.0,0.5957446808510638,0.38181818181818183
39,3.8,57.0,5.6,30.0,1.4736842105263157,0.5263157894736842
40,4.7,50.0,5.6,17.0,1.1914893617021276,0.34
41,4.7,50.0,3.8,13.0,0.8085106382978723,0.26
42,9.3,50.0,4.7,21.0,0.5053763440860215,0.42
43,9.3,42.0,4.7,25.0,0.5053763440860215,0.5952380952380952
44,7.5,50.0,2.8,13.0,0.3733333333333333,0.26
45,4.7,38.0,3.8,17.0,0.8085106382978723,0.4473684210526316
46,2.8,21.0,7.5,21.0,2.678571428571429,1.0
47,2.8,13.0,5.6,17.0,2.0,1.3076923076923077
48,3.8,13.0,6.5,30.0,1.7105263157894737,2.3076923076923075
49,4.7,25.0,10.2,42.0,2.1702127659574466,1.68
50,3.8,21.0,8.4,46.0,2.210526315789474,2.1904761904761907
51,5.6,21.0,4.7,34.0,0.8392857142857144,1.619047619047619
52,3.8,30.0,2.8,30.0,0.7368421052631579,1.0
53,3.8,25.0,5.6,21.0,1.4736842105263157,0.84
54,4.7,17.0,4.7,17.0,1.0,1.0
55,3.8,17.0,4.7,17.0,1.236842105263158,1.0
56,4.7,17.0,4.7,17.0,1.0,1.0
57,3.8,30.0,6.5,17.0,1.7105263157894737,0.5666666666666667
58,4.7,25.0,3.8,13.0,0.8085106382978723,0.52
59,4.7,17.0,2.8,17.0,0.5957446808510638,1.0
60,3.8,17.0,3.8,17.0,1.0,1.0
61,7.5,21.0,4.7,17.0,0.6266666666666667,0.8095238095238095
62,3.8,25.0,4.7,21.0,1.236842105263158,0.84
63,6.5,25.0,5.6,25.0,0.8615384615384615,1.0
64,5.6,50.0,4.7,30.0,0.8392857142857144,0.6
65,4.7,21.0,5.6,38.0,1.1914893617021276,1.8095238095238095
66,2.8,38.0,5.6,46.0,2.0,1.2105263157894737
67,2.8,25.0,7.5,46.0,2.678571428571429,1.84
68,3.8,25.0,9.3,46.0,2.447368421052632,1.84
69,4.7,30.0,7.5,46.0,1.5957446808510638,1.5333333333333334
70,5.6,55.0,6.5,21.0,1.1607142857142858,0.38181818181818183
71,3.8,17.0,3.8,13.0,1.0,0.7647058823529411
72,7.5,34.0,3.8,13.0,0.5066666666666666,0.38235294117647056
