Days since start,median_2019_no2,median_2019_pm25,median_2020_no2,median_2020_pm25,Relative NO2 Levels,Relative PM2.5 Levels
0,6.5,39.0,13.0,33.0,2.0,0.8461538461538461
1,6.5,25.0,7.5,46.0,1.1538461538461537,1.84
2,2.8,20.0,1.9,29.0,0.6785714285714286,1.45
3,2.8,14.0,2.8,28.0,1.0,2.0
4,8.4,21.0,6.5,20.0,0.7738095238095237,0.9523809523809523
5,10.2,37.0,3.8,23.0,0.37254901960784315,0.6216216216216216
6,4.7,16.0,8.4,24.0,1.7872340425531914,1.5
7,6.5,21.0,7.5,36.0,1.1538461538461537,1.7142857142857142
8,4.7,26.0,6.5,30.0,1.3829787234042552,1.1538461538461537
9,12.1,31.0,7.5,33.0,0.6198347107438017,1.064516129032258
10,5.6,49.0,7.5,21.0,1.3392857142857144,0.42857142857142855
11,1.9,25.0,7.5,35.0,3.947368421052632,1.4
12,2.8,23.0,4.7,22.0,1.6785714285714288,0.9565217391304348
13,6.5,34.0,3.8,22.0,0.5846153846153845,0.6470588235294118
14,5.6,39.0,1.9,19.0,0.3392857142857143,0.48717948717948717
15,6.5,45.0,1.9,14.0,0.29230769230769227,0.3111111111111111
16,6.5,29.0,3.8,15.0,0.5846153846153845,0.5172413793103449
17,7.5,44.0,6.5,30.0,0.8666666666666667,0.6818181818181818
18,4.7,45.0,3.8,27.0,0.8085106382978723,0.6
19,8.4,40.0,10.2,38.0,1.2142857142857142,0.95
20,8.4,39.0,3.8,27.0,0.45238095238095233,0.6923076923076923
21,3.8,20.0,2.8,31.0,0.7368421052631579,1.55
22,3.8,18.0,1.9,25.0,0.5,1.3888888888888888
23,4.7,26.0,1.9,28.0,0.40425531914893614,1.0769230769230769
24,3.8,30.0,3.8,44.0,1.0,1.4666666666666666
25,4.7,22.0,1.9,25.0,0.40425531914893614,1.1363636363636365
26,2.8,20.0,2.8,25.0,1.0,1.25
27,6.5,25.0,2.8,33.0,0.43076923076923074,1.32
28,3.8,17.0,3.8,35.0,1.0,2.0588235294117645
29,2.8,31.0,4.7,41.0,1.6785714285714288,1.3225806451612903
30,3.8,28.0,7.5,35.0,1.973684210526316,1.25
31,1.9,24.0,4.7,38.0,2.473684210526316,1.5833333333333333
32,2.8,23.0,5.6,29.0,2.0,1.2608695652173914
33,4.7,28.0,3.8,33.0,0.8085106382978723,1.1785714285714286
34,7.5,28.0,3.8,30.0,0.5066666666666666,1.0714285714285714
35,6.5,24.0,7.5,33.0,1.1538461538461537,1.375
36,4.7,22.0,8.4,17.0,1.7872340425531914,0.7727272727272727
37,4.7,28.0,3.8,27.0,0.8085106382978723,0.9642857142857143
38,3.8,21.0,4.7,19.0,1.236842105263158,0.9047619047619048
39,2.8,21.0,2.8,14.0,1.0,0.6666666666666666
40,3.8,22.0,4.7,25.0,1.236842105263158,1.1363636363636365
41,3.8,38.0,3.8,34.0,1.0,0.8947368421052632
42,2.8,24.0,1.9,30.0,0.6785714285714286,1.25
43,7.5,50.0,2.8,23.0,0.3733333333333333,0.46
44,7.5,37.0,1.9,20.0,0.2533333333333333,0.5405405405405406
45,6.5,37.0,5.6,34.0,0.8615384615384615,0.918918918918919
46,5.6,15.0,2.8,29.0,0.5,1.9333333333333333
47,3.8,16.0,3.8,23.0,1.0,1.4375
48,3.8,27.0,3.8,25.0,1.0,0.9259259259259259
49,3.8,28.0,3.8,23.0,1.0,0.8214285714285714
50,2.8,28.0,5.6,23.0,2.0,0.8214285714285714
51,3.8,20.0,1.9,15.0,0.5,0.75
52,2.8,27.0,2.8,21.0,1.0,0.7777777777777778
53,12.1,17.0,3.8,21.0,0.3140495867768595,1.2352941176470589
54,5.6,13.0,2.8,21.0,0.5,1.6153846153846154
55,3.8,16.0,6.5,38.0,1.7105263157894737,2.375
56,4.7,23.0,8.4,40.0,1.7872340425531914,1.7391304347826086
57,5.6,36.0,7.5,48.0,1.3392857142857144,1.3333333333333333
58,4.7,51.0,2.8,23.0,0.5957446808510638,0.45098039215686275
59,3.8,49.0,1.9,25.0,0.5,0.5102040816326531
60,2.8,38.0,9.3,28.0,3.321428571428572,0.7368421052631579
61,5.6,55.0,6.5,29.0,1.1607142857142858,0.5272727272727272
62,2.8,25.0,1.9,31.0,0.6785714285714286,1.24
63,3.8,20.0,1.9,30.0,0.5,1.5
64,3.8,25.0,2.8,22.0,0.7368421052631579,0.88
65,3.8,27.0,2.8,23.0,0.7368421052631579,0.8518518518518519
66,1.9,20.0,3.8,38.0,2.0,1.9
67,1.9,27.0,2.8,28.0,1.4736842105263157,1.037037037037037
68,2.8,27.0,3.8,30.0,1.3571428571428572,1.1111111111111112
69,5.6,33.0,2.8,21.0,0.5,0.6363636363636364
70,4.7,38.0,1.9,25.0,0.40425531914893614,0.6578947368421053
71,5.6,31.0,2.8,33.0,0.5,1.064516129032258
72,4.7,36.0,1.9,26.0,0.40425531914893614,0.7222222222222222
