Days since start,median_2019_no2,median_2019_pm25,median_2020_no2,median_2020_pm25,Relative NO2 Levels,Relative PM2.5 Levels
0,12.1,13.0,5.6,21.0,0.46280991735537186,1.6153846153846154
1,12.1,17.0,11.2,21.0,0.9256198347107437,1.2352941176470589
2,16.7,21.0,13.0,21.0,0.7784431137724551,1.0
3,16.7,34.0,11.2,21.0,0.6706586826347305,0.6176470588235294
4,13.9,50.0,4.7,13.0,0.3381294964028777,0.26
5,2.8,25.0,3.8,9.0,1.3571428571428572,0.36
6,7.5,13.0,4.7,17.0,0.6266666666666667,1.3076923076923077
7,13.9,21.0,7.5,17.0,0.539568345323741,0.8095238095238095
8,4.7,21.0,4.7,9.0,1.0,0.42857142857142855
9,7.5,13.0,2.8,9.0,0.3733333333333333,0.6923076923076923
10,13.9,17.0,2.8,17.0,0.20143884892086328,1.0
11,13.0,25.0,5.6,25.0,0.43076923076923074,1.0
12,10.2,34.0,10.2,21.0,1.0,0.6176470588235294
13,8.4,21.0,10.2,13.0,1.2142857142857142,0.6190476190476191
14,7.5,13.0,7.5,25.0,1.0,1.9230769230769231
15,10.2,17.0,9.3,21.0,0.911764705882353,1.2352941176470589
16,20.4,17.0,3.8,13.0,0.18627450980392157,0.7647058823529411
17,13.9,25.0,4.7,13.0,0.3381294964028777,0.52
19,2.8,25.0,4.7,34.0,1.6785714285714288,1.36
20,3.8,13.0,5.6,17.0,1.4736842105263157,1.3076923076923077
21,7.5,9.0,8.4,17.0,1.12,1.8888888888888888
22,14.9,17.0,9.3,21.0,0.6241610738255033,1.2352941176470589
23,13.9,21.0,8.4,21.0,0.60431654676259,1.0
24,5.6,34.0,7.5,17.0,1.3392857142857144,0.5
25,3.8,21.0,7.5,30.0,1.973684210526316,1.4285714285714286
26,5.6,13.0,6.5,21.0,1.1607142857142858,1.6153846153846154
27,8.4,17.0,14.9,25.0,1.7738095238095237,1.4705882352941178
28,7.5,13.0,6.5,13.0,0.8666666666666667,1.0
29,9.3,17.0,9.3,17.0,1.0,1.0
30,8.4,13.0,7.5,25.0,0.8928571428571428,1.9230769230769231
31,4.7,13.0,12.1,30.0,2.574468085106383,2.3076923076923075
32,4.7,9.0,5.6,17.0,1.1914893617021276,1.8888888888888888
33,5.6,13.0,6.5,9.0,1.1607142857142858,0.6923076923076923
34,11.2,17.0,4.7,13.0,0.4196428571428572,0.7647058823529411
35,11.2,17.0,9.3,21.0,0.830357142857143,1.2352941176470589
36,18.6,21.0,2.8,25.0,0.15053763440860213,1.1904761904761905
37,5.6,21.0,6.5,25.0,1.1607142857142858,1.1904761904761905
38,5.6,17.0,7.5,13.0,1.3392857142857144,0.7647058823529411
39,8.4,25.0,5.6,30.0,0.6666666666666666,1.2
40,4.7,13.0,4.7,21.0,1.0,1.6153846153846154
41,5.6,13.0,4.7,13.0,0.8392857142857144,1.0
42,19.5,21.0,8.4,13.0,0.4307692307692308,0.6190476190476191
43,8.4,21.0,8.4,17.0,1.0,0.8095238095238095
44,11.2,21.0,6.5,17.0,0.5803571428571429,0.8095238095238095
45,13.0,21.0,3.8,13.0,0.29230769230769227,0.6190476190476191
46,8.4,17.0,4.7,17.0,0.5595238095238095,1.0
47,2.8,13.0,9.3,25.0,3.321428571428572,1.9230769230769231
48,4.7,13.0,4.7,13.0,1.0,1.0
49,5.6,9.0,5.6,17.0,1.0,1.8888888888888888
50,12.1,13.0,13.0,21.0,1.0743801652892562,1.6153846153846154
51,13.0,21.0,5.6,42.0,0.43076923076923074,2.0
52,14.9,46.0,4.7,17.0,0.31543624161073824,0.3695652173913043
53,8.4,21.0,2.8,17.0,0.3333333333333333,0.8095238095238095
54,6.5,21.0,6.5,21.0,1.0,1.0
55,6.5,46.0,2.8,21.0,0.43076923076923074,0.45652173913043476
56,5.6,13.0,4.7,17.0,0.8392857142857144,1.3076923076923077
57,6.5,13.0,4.7,21.0,0.7230769230769231,1.6153846153846154
58,5.6,17.0,7.5,30.0,1.3392857142857144,1.7647058823529411
59,4.7,17.0,2.8,30.0,0.5957446808510638,1.7647058823529411
60,8.4,17.0,1.9,30.0,0.22619047619047616,1.7647058823529411
61,4.7,25.0,3.8,25.0,0.8085106382978723,1.0
62,6.5,17.0,3.8,30.0,0.5846153846153845,1.7647058823529411
63,3.8,13.0,4.7,17.0,1.236842105263158,1.3076923076923077
64,6.5,13.0,3.8,21.0,0.5846153846153845,1.6153846153846154
65,5.6,9.0,2.8,17.0,0.5,1.8888888888888888
66,7.5,25.0,2.8,13.0,0.3733333333333333,0.52
