Days since start,median_2019_no2,median_2019_pm25,median_2020_no2,median_2020_pm25,Relative NO2 Levels,Relative PM2.5 Levels
5,3.2,25.0,1.9,23.0,0.5937499999999999,0.92
6,2.4,23.0,1.3,23.0,0.5416666666666667,1.0
7,2.6,23.0,2.1,34.0,0.8076923076923077,1.4782608695652173
8,2.5,14.0,1.9,23.0,0.76,1.6428571428571428
9,2.4,,1.0,21.0,0.4166666666666667,
10,3.1,,0.6,16.0,0.1935483870967742,
11,2.5,,1.9,24.0,0.76,
12,2.2,,1.1,32.0,0.5,
13,1.7,,0.9,16.0,0.5294117647058824,
14,1.5,,0.6,18.0,0.39999999999999997,
15,2.5,13.0,0.7,26.0,0.27999999999999997,2.0
16,4.0,23.0,1.7,30.0,0.425,1.3043478260869565
17,2.3,29.0,1.8,30.0,0.782608695652174,1.0344827586206897
18,1.7,20.0,1.0,33.0,0.5882352941176471,1.65
19,1.8,13.0,1.9,25.0,1.0555555555555556,1.9230769230769231
20,2.0,14.0,2.3,36.0,1.15,2.5714285714285716
21,2.2,20.0,1.3,25.0,0.5909090909090908,1.25
22,3.7,26.0,1.4,19.0,0.37837837837837834,0.7307692307692307
23,2.8,23.0,2.3,23.0,0.8214285714285714,1.0
24,3.8,29.0,1.4,16.0,0.3684210526315789,0.5517241379310345
25,2.7,18.0,0.8,21.0,0.2962962962962963,1.1666666666666667
26,1.9,16.0,1.0,17.0,0.5263157894736842,1.0625
27,2.7,22.0,0.8,13.0,0.2962962962962963,0.5909090909090909
28,2.2,15.0,3.0,22.0,1.3636363636363635,1.4666666666666666
29,3.0,46.0,1.5,23.0,0.5,0.5
30,3.3,25.0,1.4,18.0,0.42424242424242425,0.72
31,3.2,23.0,1.1,13.0,0.34375,0.5652173913043478
32,3.6,40.0,1.0,19.0,0.2777777777777778,0.475
33,3.4,42.0,1.2,29.0,0.35294117647058826,0.6904761904761905
34,2.7,12.0,0.8,15.0,0.2962962962962963,1.25
35,1.6,13.0,1.0,15.0,0.625,1.1538461538461537
36,2.3,23.0,1.0,14.0,0.4347826086956522,0.6086956521739131
37,3.2,30.0,1.1,16.0,0.34375,0.5333333333333333
38,2.1,14.0,1.5,18.0,0.7142857142857143,1.2857142857142858
39,2.0,16.0,0.6,13.0,0.3,0.8125
40,2.3,17.0,1.3,16.0,0.5652173913043479,0.9411764705882353
41,1.8,5.0,1.0,12.0,0.5555555555555556,2.4
42,1.9,7.0,1.5,14.0,0.7894736842105263,2.0
43,2.0,10.0,2.1,20.0,1.05,2.0
44,2.6,21.0,2.3,26.0,0.8846153846153845,1.2380952380952381
45,3.2,35.0,1.3,42.0,0.40625,1.2
46,3.3,40.0,1.0,21.0,0.30303030303030304,0.525
47,3.1,52.0,0.6,25.0,0.1935483870967742,0.4807692307692308
48,2.0,50.0,0.6,28.0,0.3,0.56
49,2.2,46.0,0.4,20.0,0.18181818181818182,0.43478260869565216
50,2.0,16.0,0.3,31.0,0.15,1.9375
51,1.9,19.0,0.5,39.0,0.2631578947368421,2.0526315789473686
52,2.6,26.0,1.3,20.0,0.5,0.7692307692307693
53,2.3,22.0,1.1,19.0,0.47826086956521746,0.8636363636363636
54,2.4,29.0,0.5,22.0,0.20833333333333334,0.7586206896551724
55,2.4,50.0,0.3,23.0,0.125,0.46
56,2.1,25.0,1.1,22.0,0.5238095238095238,0.88
57,2.4,51.0,0.5,17.0,0.20833333333333334,0.3333333333333333
58,2.5,44.0,1.0,19.0,0.4,0.4318181818181818
59,2.6,22.0,1.1,27.0,0.4230769230769231,1.2272727272727273
60,2.9,24.0,1.0,16.0,0.3448275862068966,0.6666666666666666
