Days since start,median_2019_no2,median_2019_pm25,median_2020_no2,median_2020_pm25,Relative NO2 Levels,Relative PM2.5 Levels
0,11.2,30.0,1.0,9.0,0.08928571428571429,0.3
1,13.0,25.0,1.0,9.0,0.07692307692307693,0.36
2,9.3,38.0,1.0,9.0,0.1075268817204301,0.23684210526315788
3,12.1,46.0,1.9,5.0,0.15702479338842976,0.10869565217391304
4,10.2,34.0,3.8,9.0,0.37254901960784315,0.2647058823529412
5,2.8,17.0,3.8,17.0,1.3571428571428572,1.0
6,5.6,17.0,2.8,13.0,0.5,0.7647058823529411
7,4.7,21.0,4.7,17.0,1.0,0.8095238095238095
8,2.8,21.0,2.8,21.0,1.0,1.0
9,6.5,17.0,1.9,17.0,0.29230769230769227,1.0
10,4.7,34.0,1.0,5.0,0.2127659574468085,0.14705882352941177
11,3.8,9.0,1.9,9.0,0.5,1.0
12,2.8,13.0,1.9,5.0,0.6785714285714286,0.38461538461538464
13,4.7,13.0,1.9,13.0,0.40425531914893614,1.0
14,8.4,21.0,1.0,25.0,0.11904761904761904,1.1904761904761905
15,8.4,13.0,1.9,13.0,0.22619047619047616,1.0
16,7.5,21.0,1.9,9.0,0.2533333333333333,0.42857142857142855
17,5.6,21.0,1.0,5.0,0.17857142857142858,0.23809523809523808
18,2.8,13.0,1.9,13.0,0.6785714285714286,1.0
19,3.8,9.0,1.9,9.0,0.5,1.0
20,3.8,9.0,2.8,9.0,0.7368421052631579,1.0
21,5.6,13.0,1.9,5.0,0.3392857142857143,0.38461538461538464
22,3.8,17.0,,21.0,,1.2352941176470589
23,2.8,21.0,1.9,5.0,0.6785714285714286,0.23809523809523808
24,1.9,25.0,2.8,5.0,1.4736842105263157,0.2
25,2.8,9.0,1.9,21.0,0.6785714285714286,2.3333333333333335
26,3.8,13.0,1.0,9.0,0.2631578947368421,0.6923076923076923
27,3.8,17.0,1.0,9.0,0.2631578947368421,0.5294117647058824
28,2.8,9.0,1.0,25.0,0.35714285714285715,2.7777777777777777
29,5.6,17.0,1.9,25.0,0.3392857142857143,1.4705882352941178
30,2.8,21.0,1.0,34.0,0.35714285714285715,1.619047619047619
31,2.8,21.0,2.8,13.0,1.0,0.6190476190476191
32,2.8,13.0,2.8,9.0,1.0,0.6923076923076923
33,6.5,21.0,1.9,30.0,0.29230769230769227,1.4285714285714286
34,6.5,30.0,1.0,21.0,0.15384615384615385,0.7
35,5.6,34.0,1.0,17.0,0.17857142857142858,0.5
36,1.9,17.0,,21.0,,1.2352941176470589
37,2.8,21.0,1.0,17.0,0.35714285714285715,0.8095238095238095
38,3.8,17.0,1.9,25.0,0.5,1.4705882352941178
39,5.6,25.0,2.8,17.0,0.5,0.68
40,5.6,38.0,2.8,9.0,0.5,0.23684210526315788
41,3.8,38.0,1.9,9.0,0.5,0.23684210526315788
42,3.8,38.0,2.8,13.0,0.7368421052631579,0.34210526315789475
43,1.9,53.0,1.9,13.0,1.0,0.24528301886792453
44,1.9,53.0,1.9,25.0,1.0,0.4716981132075472
45,2.8,38.0,1.9,13.0,0.6785714285714286,0.34210526315789475
46,2.8,34.0,1.9,13.0,0.6785714285714286,0.38235294117647056
47,4.7,21.0,1.9,13.0,0.40425531914893614,0.6190476190476191
48,3.8,21.0,1.9,17.0,0.5,0.8095238095238095
49,3.8,25.0,1.9,13.0,0.5,0.52
50,2.8,25.0,1.9,13.0,0.6785714285714286,0.52
51,1.0,17.0,2.8,13.0,2.8,0.7647058823529411
52,1.9,13.0,1.9,13.0,1.0,1.0
53,1.9,13.0,2.8,25.0,1.4736842105263157,1.9230769230769231
54,1.9,21.0,2.8,13.0,1.4736842105263157,0.6190476190476191
55,1.9,21.0,3.8,17.0,2.0,0.8095238095238095
56,3.8,21.0,2.8,21.0,0.7368421052631579,1.0
57,1.9,21.0,1.0,30.0,0.5263157894736842,1.4285714285714286
58,1.9,21.0,1.0,17.0,0.5263157894736842,0.8095238095238095
59,1.9,13.0,1.9,13.0,1.0,1.0
60,1.9,9.0,1.9,21.0,1.0,2.3333333333333335
61,2.8,17.0,1.9,13.0,0.6785714285714286,0.7647058823529411
62,1.9,13.0,1.0,13.0,0.5263157894736842,1.0
63,1.9,9.0,1.9,9.0,1.0,1.0
64,2.8,17.0,2.8,13.0,1.0,0.7647058823529411
65,1.9,13.0,1.0,9.0,0.5263157894736842,0.6923076923076923
66,3.8,13.0,1.9,17.0,0.5,1.3076923076923077
67,1.9,17.0,2.8,17.0,1.4736842105263157,1.0
68,2.8,9.0,1.9,17.0,0.6785714285714286,1.8888888888888888
69,2.8,25.0,1.9,13.0,0.6785714285714286,0.52
70,1.9,21.0,1.9,9.0,1.0,0.42857142857142855
71,1.9,21.0,1.9,21.0,1.0,1.0
72,1.9,17.0,2.8,13.0,1.4736842105263157,0.7647058823529411
73,1.9,21.0,3.8,25.0,2.0,1.1904761904761905
74,2.8,21.0,4.7,25.0,1.6785714285714288,1.1904761904761905
75,3.8,46.0,2.8,17.0,0.7368421052631579,0.3695652173913043
76,2.8,21.0,1.0,13.0,0.35714285714285715,0.6190476190476191
77,2.8,25.0,1.9,17.0,0.6785714285714286,0.68
