Days since start,median_2019_no2,median_2019_pm25,median_2020_no2,median_2020_pm25,Relative NO2 Levels,Relative PM2.5 Levels
0,8.4,17.0,2.8,53.0,0.3333333333333333,3.1176470588235294
1,8.4,21.0,2.8,17.0,0.3333333333333333,0.8095238095238095
2,7.5,25.0,2.8,13.0,0.3733333333333333,0.52
3,8.4,30.0,5.6,9.0,0.6666666666666666,0.3
4,8.4,42.0,5.6,17.0,0.6666666666666666,0.40476190476190477
5,8.4,38.0,5.6,17.0,0.6666666666666666,0.4473684210526316
6,5.6,21.0,6.5,21.0,1.1607142857142858,1.0
7,6.5,25.0,6.5,25.0,1.0,1.0
8,9.3,21.0,7.5,21.0,0.8064516129032258,1.0
9,4.7,25.0,4.7,25.0,1.0,1.0
10,5.6,25.0,4.7,30.0,0.8392857142857144,1.2
11,6.5,25.0,4.7,13.0,0.7230769230769231,0.52
12,6.5,13.0,3.8,13.0,0.5846153846153845,1.0
13,3.8,21.0,3.8,13.0,1.0,0.6190476190476191
14,4.7,21.0,3.8,34.0,0.8085106382978723,1.619047619047619
15,5.6,21.0,4.7,42.0,0.8392857142857144,2.0
16,6.5,21.0,3.8,25.0,0.5846153846153845,1.1904761904761905
17,7.5,34.0,3.8,13.0,0.5066666666666666,0.38235294117647056
18,10.2,25.0,2.8,13.0,0.27450980392156865,0.52
19,5.6,13.0,2.8,21.0,0.5,1.6153846153846154
20,5.6,13.0,2.8,21.0,0.5,1.6153846153846154
21,3.8,9.0,2.8,21.0,0.7368421052631579,2.3333333333333335
22,4.7,13.0,2.8,17.0,0.5957446808510638,1.3076923076923077
23,3.8,21.0,1.9,13.0,0.5,0.6190476190476191
24,3.8,25.0,8.4,17.0,2.210526315789474,0.68
25,4.7,21.0,4.7,17.0,1.0,0.8095238095238095
26,3.8,21.0,3.8,21.0,1.0,1.0
27,4.7,25.0,3.8,17.0,0.8085106382978723,0.68
28,3.8,30.0,2.8,17.0,0.7368421052631579,0.5666666666666667
29,4.7,17.0,1.9,17.0,0.40425531914893614,1.0
30,6.5,38.0,1.9,46.0,0.29230769230769227,1.2105263157894737
31,2.8,25.0,4.7,53.0,1.6785714285714288,2.12
32,4.7,30.0,5.6,30.0,1.1914893617021276,1.0
33,3.8,17.0,5.6,38.0,1.4736842105263157,2.235294117647059
34,6.5,25.0,2.8,25.0,0.43076923076923074,1.0
35,9.3,30.0,2.8,30.0,0.30107526881720426,1.0
36,5.6,21.0,1.9,30.0,0.3392857142857143,1.4285714285714286
37,1.9,25.0,1.9,25.0,1.0,1.0
38,4.7,46.0,2.8,25.0,0.5957446808510638,0.5434782608695652
39,8.4,53.0,2.8,25.0,0.3333333333333333,0.4716981132075472
40,12.1,50.0,3.8,21.0,0.3140495867768595,0.42
41,7.5,57.0,3.8,21.0,0.5066666666666666,0.3684210526315789
42,4.7,53.0,5.6,30.0,1.1914893617021276,0.5660377358490566
43,4.7,53.0,3.8,30.0,0.8085106382978723,0.5660377358490566
44,2.8,55.0,1.9,21.0,0.6785714285714286,0.38181818181818183
45,2.8,55.0,2.8,30.0,1.0,0.5454545454545454
46,3.8,46.0,3.8,17.0,1.0,0.3695652173913043
47,3.8,50.0,1.9,13.0,0.5,0.26
48,5.6,50.0,2.8,25.0,0.5,0.5
49,6.5,42.0,2.8,21.0,0.43076923076923074,0.5
50,5.6,46.0,1.9,13.0,0.3392857142857143,0.2826086956521739
51,2.8,34.0,1.9,21.0,0.6785714285714286,0.6176470588235294
52,2.8,21.0,3.8,25.0,1.3571428571428572,1.1904761904761905
53,3.8,13.0,3.8,21.0,1.0,1.6153846153846154
54,3.8,13.0,3.8,25.0,1.0,1.9230769230769231
55,3.8,21.0,6.5,50.0,1.7105263157894737,2.380952380952381
56,2.8,21.0,6.5,50.0,2.3214285714285716,2.380952380952381
57,3.8,21.0,2.8,30.0,0.7368421052631579,1.4285714285714286
58,2.8,25.0,1.9,34.0,0.6785714285714286,1.36
59,1.9,25.0,2.8,25.0,1.4736842105263157,1.0
60,2.8,21.0,3.8,21.0,1.3571428571428572,1.0
61,3.8,17.0,4.7,21.0,1.236842105263158,1.2352941176470589
62,4.7,21.0,3.8,17.0,0.8085106382978723,0.8095238095238095
63,3.8,30.0,2.8,17.0,0.7368421052631579,0.5666666666666667
64,3.8,30.0,1.9,13.0,0.5,0.43333333333333335
65,4.7,17.0,1.9,21.0,0.40425531914893614,1.2352941176470589
66,3.8,17.0,2.8,17.0,0.7368421052631579,1.0
67,4.7,17.0,2.8,17.0,0.5957446808510638,1.0
68,2.8,25.0,2.8,25.0,1.0,1.0
69,3.8,25.0,2.8,30.0,0.7368421052631579,1.2
70,3.8,46.0,3.8,34.0,1.0,0.7391304347826086
71,2.8,21.0,3.8,46.0,1.3571428571428572,2.1904761904761907
72,2.8,38.0,3.8,50.0,1.3571428571428572,1.3157894736842106
73,1.9,25.0,5.6,46.0,2.9473684210526314,1.84
74,2.8,25.0,6.5,46.0,2.3214285714285716,1.84
75,3.8,30.0,3.8,46.0,1.0,1.5333333333333334
76,3.8,53.0,2.8,17.0,0.7368421052631579,0.32075471698113206
77,2.8,17.0,1.9,13.0,0.6785714285714286,0.7647058823529411
78,4.7,30.0,2.8,17.0,0.5957446808510638,0.5666666666666667
